Date,Type,Réf. transaction,Moyen de paiement,Quantité,Description,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
1 déc. 2024 15:36,Vente,ASV2CLZN,Espèces,1,Soft Cafe,EUR,1.00,0.00,1.00,1.00,0.00,,us@gmail.com
1 déc. 2024 15:36,Vente,ASV2CLZN,Espèces,1,Soft Thé/tisane,EUR,2.00,0.00,2.00,2.00,0.00,,us@gmail.com
1 déc. 2024 15:37,Vente,ASV2C3AG,Espèces,3,Alcool Bière blonde,EUR,9.00,0.00,9.00,9.00,0.00,,us@gmail.com
1 déc. 2024 15:37,Vente,ASV2C3AG,Espèces,2,Sirops,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 15:50,Vente,TFK93HSRZS,Visa - Débit,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 15:50,Vente,TFK93HSRZS,Visa - Débit,1,Soft Jus de fruits,EUR,2.00,0.00,2.00,2.00,0.00,,us@gmail.com
1 déc. 2024 15:53,Vente,TFN9P9TZQP,Visa - Débit,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 15:58,Vente,ASV2PZZZ,Espèces,1,Soft Thé/tisane,EUR,2.00,0.00,2.00,2.00,0.00,,us@gmail.com
1 déc. 2024 16:00,Vente,ASV2QZC2,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:01,Vente,ASV2RPM2,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:01,Vente,ASV2RRCA,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:02,Vente,ASV2RTDG,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:16,Vente,ASV2ZMAP,Espèces,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:21,Vente,TCHALHTLZV,Mastercard - Débit,2,Alcool Vin Blanc,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
1 déc. 2024 16:30,Vente,ASV29PXT,Espèces,1,Alcool Vin rouge,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:33,Vente,ASV3AZZF,Espèces,1,Alcool Vin Blanc,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:44,Vente,TXXKFNL2MF,Visa - Débit,2,Soft Jus de fruits,EUR,4.00,0.00,4.00,4.00,0.00,,us@gmail.com
1 déc. 2024 16:46,Vente,TEKC23Q2F4,Visa - Débit,2,Alcool Biere ambre,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
1 déc. 2024 16:50,Vente,ASV3H62Z,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 16:50,Vente,ASV3H62Z,Espèces,1,Alcool Bière blonde,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 17:04,Vente,ASV3QYNE,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 17:10,Vente,ASV3S7BX,Espèces,3,Alcool Biere ambre,EUR,9.00,0.00,9.00,9.00,0.00,,us@gmail.com
1 déc. 2024 17:27,Vente,TC9H2Z6F66,Visa - Débit,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 17:35,Vente,ASV347MY,Espèces,1,Alcool Biere ambre,EUR,3.00,0.00,3.00,3.00,0.00,,us@gmail.com
1 déc. 2024 17:54,Vente,ASV4DM7H,Espèces,2,Alcool Vin rouge,EUR,6.00,0.00,6.00,6.00,0.00,,us@gmail.com
